"","x"
"1191","TSEN15"
"1192","C1orf21"
"1193","EDEM3"
"1194","FAM129A"
"1195","RNF2"
"1196","TRMT1L"
"1197","SWT1"
"1198","IVNS1ABP"
"1199","TPR"
"1200","PTGS2"
"1201","PLA2G4A"
"1202","BRINP3"
"1203","RGS2"
"1204","UCHL5"
"1205","GLRX2"
"1206","CDC73"
"1207","B3GALT2"
"1208","KCNT2"
"1209","CFH"
"1210","ASPM"
"1211","ZBTB41"
"1212","CRB1"
"1213","DENND1B"
"1214","C1orf53"
"1215","NEK7"
"1216","PTPRC"
"1217","ZNF281"
"1218","KIF14"
"1219","DDX59"
"1220","CAMSAP2"
"1221","KIF21B"
"1222","CACNA1S"
"1223","ASCL5"
"1224","TMEM9"
"1225","PKP1"
"1226","TNNT2"
"1227","LAD1"
"1228","PHLDA3"
"1229","CSRP1"
"1230","NAV1"
"1231","IPO9"
"1232","SHISA4"
"1233","LMOD1"
"1234","TIMM17A"
"1235","RNPEP"
"1236","ELF3"
"1237","GPR37L1"
"1238","ARL8A"
"1239","PTPN7"
"1240","LGR6"
"1241","UBE2T"
"1242","PPP1R12B"
"1243","SYT2"
"1244","KDM5B"
"1245","RABIF"
"1246","KLHL12"
"1247","ADIPOR1"
"1248","CYB5R1"
"1249","TMEM183A"
"1250","PPFIA4"
"1251","ADORA1"
"1252","CHI3L1"
"1253","CHIT1"
"1254","BTG2"
"1255","FMOD"
"1256","PRELP"
"1257","ATP2B4"
"1258","ZC3H11A"
"1259","SNRPE"
"1260","SOX13"
"1261","ETNK2"
"1262","KISS1"
"1263","GOLT1A"
"1264","PLEKHA6"
"1265","PPP1R15B"
"1266","PIK3C2B"
"1267","MDM4"
"1268","LRRN2"
"1269","NFASC"
"1270","CNTN2"
"1271","TMEM81"
"1272","RBBP5"
"1273","DSTYK"
"1274","TMCC2"
"1275","NUAK2"
"1276","KLHDC8A"
"1277","CDK18"
"1278","ELK4"
"1279","SLC45A3"
"1280","NUCKS1"
"1281","RAB29"
"1282","SLC41A1"
"1283","PM20D1"
"1284","RAB7B"
"1285","FAM72A"
"1286","SRGAP2"
"1287","IKBKE"
"1288","RASSF5"
"1289","EIF2D"
"1290","DYRK3"
"1291","MAPKAPK2"
"1292","IL10"
"1293","PFKFB2"
"1294","YOD1"
"1295","CD55"
"1296","CD46"
"1297","CD34"
"1298","PLXNA2"
"1299","CAMK1G"
"1300","LAMB3"
"1301","G0S2"
"1302","HSD11B1"
"1303","TRAF3IP3"
"1304","C1orf74"
"1305","IRF6"
"1306","SYT14"
"1307","SERTAD4"
"1308","HHAT"
"1309","KCNH1"
"1310","RCOR3"
"1311","TRAF5"
"1312","SLC30A1"
"1313","NEK2"
"1314","LPGAT1"
"1315","INTS7"
"1316","DTL"
"1317","PPP2R5A"
"1318","TMEM206"
"1319","NENF"
"1320","ATF3"
"1321","BATF3"
"1322","NSL1"
"1323","TATDN3"
"1324","FLVCR1"
"1325","VASH2"
"1326","ANGEL2"
"1327","RPS6KC1"
"1328","PROX1"
"1329","SMYD2"
"1330","PTPN14"
"1331","CENPF"
"1332","KCNK2"
"1333","KCTD3"
"1334","USH2A"
"1335","ESRRG"
"1336","GPATCH2"
"1337","SPATA17"
"1338","RRP15"
"1339","TGFB2"
"1340","LYPLAL1"
"1341","SLC30A10"
"1342","EPRS"
"1343","BPNT1"
"1344","IARS2"
"1345","RAB3GAP2"
"1346","MARK1"
"1347","C1orf115"
"1348","MARC2"
"1349","MARC1"
"1350","HLX"
"1351","DUSP10"
"1352","HHIPL2"
"1353","TAF1A"
"1354","MIA3"
"1355","AIDA"
"1356","BROX"
"1357","DISP1"
"1358","TLR5"
"1359","SUSD4"
"1360","CAPN8"
"1361","CAPN2"
"1362","TP53BP2"
"1363","FBXO28"
"1364","DEGS1"
"1365","NVL"
"1366","CNIH4"
